,symbol,splits
34,DPW,"[{'ticker': 'DPW', 'exDate': '2019-08-06', 'paymentDate': '2019-08-06', 'declaredDate': '2019-08-06', 'ratio': 40, 'tofactor': 40, 'forfactor': 1}, {'ticker': 'DPW', 'exDate': '2019-03-15', 'paymentDate': '2019-03-15', 'declaredDate': '2019-03-15', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}]"
35,TRVN,[]
36,ABEV,"[{'ticker': 'ABEV', 'exDate': '2013-11-11', 'paymentDate': '2013-11-11', 'ratio': 0.2}, {'ticker': 'ABEV', 'exDate': '2010-12-28', 'paymentDate': '2010-12-28', 'ratio': 0.2}, {'ticker': 'ABEV', 'exDate': '2005-06-09', 'paymentDate': '2005-06-09', 'ratio': 0.8333333333333334}]"
37,INPX,"[{'ticker': 'INPX', 'exDate': '2020-01-07', 'paymentDate': '2020-01-07', 'declaredDate': '2020-01-07', 'ratio': 45, 'tofactor': 45, 'forfactor': 1}, {'ticker': 'INPX', 'exDate': '2018-11-02', 'paymentDate': '2018-11-02', 'declaredDate': '2018-11-02', 'ratio': 40, 'tofactor': 40, 'forfactor': 1}, {'ticker': 'INPX', 'exDate': '2018-02-06', 'paymentDate': '2018-02-06', 'declaredDate': '2018-02-06', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}]"
38,NYMT,"[{'ticker': 'NYMT', 'exDate': '2008-05-29', 'paymentDate': '2008-05-29', 'ratio': 2}, {'ticker': 'NYMT', 'exDate': '2007-10-09', 'paymentDate': '2007-10-09', 'ratio': 5}]"
39,CRBP,[]
40,SENS,[]
41,WTI,[]
42,MARK,"[{'ticker': 'MARK', 'exDate': '2010-02-17', 'paymentDate': '2010-02-17', 'ratio': 10}]"
43,TTNP,"[{'ticker': 'TTNP', 'exDate': '2020-12-01', 'paymentDate': '2020-12-01', 'declaredDate': '2020-12-01', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}, {'ticker': 'TTNP', 'exDate': '2019-01-25', 'paymentDate': '2019-01-25', 'declaredDate': '2019-01-25', 'ratio': 6, 'tofactor': 6, 'forfactor': 1}, {'ticker': 'TTNP', 'exDate': '2015-09-29', 'paymentDate': '2015-09-29', 'declaredDate': '2015-09-29', 'ratio': 5.5, 'tofactor': 11, 'forfactor': 2}]"
