symbol,sector,industry,trades,p_lvl,adv_lvl
SBSW,Basic Materials,Gold,250,1,2
BBVA,Financial Services,BanksÑDiversified,250,1,2
NXPI,Technology,Semiconductors,250,4,2
VTNR,Energy,Oil & Gas Refining & Marketing,249,0,2
ENLV,Healthcare,Biotechnology,249,2,0
PCI,Financial Services,Asset Management,249,2,1
BKCC,Financial Services,Asset Management,248,0,0
AUVI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",248,1,1
GDV,Financial Services,Asset Management,248,2,0
GSX,Consumer Defensive,Education & Training Services,248,3,2
CPRI,Consumer Cyclical,Apparel Manufacturing,247,2,2
HRL,Consumer Defensive,Packaged Foods,247,2,2
UTZ,Consumer Defensive,Packaged Foods,247,2,1
ELA,Consumer Cyclical,Specialty Retail,246,1,0
MCS,Communication Services,Entertainment,246,1,1
A,Healthcare,Diagnostics & Research,246,3,2
JG,Technology,SoftwareÑApplication,245,1,2
ALPN,Healthcare,Biotechnology,245,1,0
VRAY,Healthcare,Medical Devices,245,1,2
CG,Financial Services,Asset Management,245,2,1
BLUE,Healthcare,Biotechnology,245,2,1
CNQ,Energy,Oil & Gas E&P,245,2,2
STMP,Technology,SoftwareÑApplication,245,4,0
SGLB,Technology,Information Technology Services,244,0,1
VIST,Energy,Oil & Gas E&P,244,0,0
CXW,Real Estate,REITÑSpecialty,244,1,2
SVC,Real Estate,REITÑHotel & Motel,244,1,2
AJRD,Industrials,Aerospace & Defense,244,2,1
ITCI,Healthcare,Biotechnology,244,2,1
SLNO,Healthcare,Diagnostics & Research,243,0,0
QELL,Financial Services,Shell Companies,243,1,2
CRUS,Technology,Semiconductors,243,3,1
AWK,Utilities,UtilitiesÑRegulated Water,243,4,1
CRVS,Healthcare,Biotechnology,242,0,0
QLI,Healthcare,Drug ManufacturersÑSpecialty & Generic,242,1,2
IHRT,Communication Services,Broadcasting,242,1,1
ARCO,Consumer Cyclical,Restaurants,242,1,1
COLD,Real Estate,REITÑIndustrial,242,2,1
BKR,Energy,Oil & Gas Equipment & Services,242,2,2
CGNX,Technology,Scientific & Technical Instruments,242,3,1
TALO,Energy,Oil & Gas E&P,241,1,2
SMAR,Technology,SoftwareÑApplication,241,3,1
NG,Basic Materials,Gold,240,1,2
IDXG,Healthcare,Diagnostics & Research,240,1,0
FLY,Industrials,Aerospace & Defense,240,1,1
BST,Financial Services,Asset Management,240,2,0
TRGP,Energy,Oil & Gas Midstream,240,2,2
CC,Basic Materials,Specialty Chemicals,240,2,1
GDDY,Technology,SoftwareÑInfrastructure,240,3,1
IEP,Industrials,Conglomerates,240,3,0
GIGM,Communication Services,Electronic Gaming & Multimedia,239,0,0
EGAN,Technology,SoftwareÑApplication,239,1,1
SCM,Financial Services,Asset Management,239,1,0
IHG,Consumer Cyclical,Lodging,239,3,0
BDX,Healthcare,Medical Instruments & Supplies,239,4,1
SPTN,Consumer Defensive,Food Distribution,238,1,1
CMBM,Technology,Communication Equipment,238,2,0
SAP,Technology,SoftwareÑApplication,238,3,1
CLBS,Healthcare,Biotechnology,237,0,2
PVAC,Energy,Oil & Gas E&P,237,1,1
FOUR,Technology,SoftwareÑInfrastructure,237,3,1
NTAP,Technology,Computer Hardware,237,3,2
LEN,Consumer Cyclical,Residential Construction,237,3,2
NPA,Financial Services,Shell Companies,236,1,2
MTA,Basic Materials,Other Precious Metals & Mining,236,1,1
MARPS,Energy,Oil & Gas Equipment & Services,236,1,0
QFIN, , ,236,2,1
BRY,Energy,Oil & Gas E&P,235,0,0
CAAP,Industrials,Airports & Air Services,235,0,1
HRTX,Healthcare,Biotechnology,235,1,2
PSXP,Energy,Oil & Gas Midstream,235,2,1
PROG,Healthcare,Biotechnology,234,1,1
CPAH,Technology,SoftwareÑApplication,233,0,0
MGY,Energy,Oil & Gas E&P,233,1,2
NICE,Technology,SoftwareÑApplication,233,4,0
MLND,Healthcare,Biotechnology,232,0,1
CKPT,Healthcare,Biotechnology,232,0,1
PXLW,Technology,Semiconductors,232,0,1
ELF,Consumer Defensive,Household & Personal Products,232,2,1
VTGN,Healthcare,Biotechnology,231,0,2
OII,Energy,Oil & Gas Equipment & Services,231,1,2
NXE,Energy,Uranium,230,0,1
GSUM,Technology,SoftwareÑApplication,230,0,0
SOGO,Communication Services,Internet Content & Information,230,1,2
XAIR,Healthcare,Medical Devices,230,1,1
ARNC,Industrials,Specialty Industrial Machinery,230,2,1
CI,Healthcare,Healthcare Plans,230,4,2
CPST,Industrials,Specialty Industrial Machinery,229,1,1
GER,Financial Services,Asset Management,229,1,0
MANU,Consumer Cyclical,Leisure,229,1,0
ABCL,Healthcare,Biotechnology,229,2,1
PZZA,Consumer Cyclical,Restaurants,229,3,1
MCF,Energy,Oil & Gas E&P,228,0,1
ELVT,Financial Services,Credit Services,228,0,0
SNES,Basic Materials,Specialty Chemicals,228,0,0
SNR,Real Estate,REITÑResidential,228,1,1
SBRA,Real Estate,REITÑHealthcare Facilities,228,1,2
FLNT,Communication Services,Advertising Agencies,228,1,1
APO,Financial Services,Asset Management,228,2,1
NEO,Healthcare,Diagnostics & Research,228,2,1
ARNA,Healthcare,Biotechnology,228,3,1
AEHR,Technology,Semiconductor Equipment & Materials,227,0,0
EFOI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",227,1,0
SD,Energy,Oil & Gas E&P,227,1,1
MGA,Consumer Cyclical,Auto Parts,227,3,1
UNP,Industrials,Railroads,227,4,2
GNRC,Industrials,Specialty Industrial Machinery,227,4,1
MBT,Communication Services,Telecom Services,226,1,2
APTS,Real Estate,REITÑResidential,226,1,1
CYTK,Healthcare,Biotechnology,226,2,1
GNCA,Healthcare,Biotechnology,225,0,1
SOAC,Financial Services,Shell Companies,225,1,1
INMB,Healthcare,Biotechnology,225,2,0
VOD,Communication Services,Telecom Services,224,1,2
PRTH,Technology,Information Technology Services,224,1,0
ICE,Financial Services,Financial Data & Stock Exchanges,224,3,2
AMS,Healthcare,Medical Care Facilities,223,0,0
ONCT,Healthcare,Biotechnology,222,1,2
NBLX,Energy,Oil & Gas Midstream,222,1,1
OUT,Real Estate,REITÑSpecialty,222,2,1
TMHC,Consumer Cyclical,Residential Construction,222,2,1
NBIX,Healthcare,Biotechnology,222,3,1
SPT,Technology,SoftwareÑApplication,222,3,1
CPG,Energy,Oil & Gas E&P,221,0,2
AVEO,Healthcare,Biotechnology,221,1,1
PHK,Financial Services,Asset Management,221,1,1
KAR,Consumer Cyclical,Specialty Retail,221,1,2
NUAN,Technology,SoftwareÑApplication,221,2,2
BHC,Healthcare,Drug ManufacturersÑSpecialty & Generic,221,2,2
VSAT,Technology,Communication Equipment,221,2,1
ARCH,Energy,Thermal Coal,221,2,0
PXS,Industrials,Marine Shipping,220,0,1
JVA,Consumer Defensive,Packaged Foods,220,1,0
PRTK,Healthcare,Biotechnology,220,1,1
WRK,Consumer Cyclical,Packaging & Containers,220,2,1
RIO,Basic Materials,Other Industrial Metals & Mining,220,3,2
AMGN,Healthcare,Drug ManufacturersÑGeneral,220,4,2
DE,Industrials,Farm & Heavy Construction Machinery,220,4,2
EVH,Healthcare,Health Information Services,219,1,1
AKAM,Technology,SoftwareÑInfrastructure,219,3,2
BKEP,Energy,Oil & Gas Midstream,218,0,0
CCX,Financial Services,Shell Companies,218,1,2
BKD,Healthcare,Medical Care Facilities,218,1,2
CCJ,Energy,Uranium,218,1,2
DISH,Communication Services,Entertainment,218,2,2
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",218,4,1
NVCR,Healthcare,Medical Instruments & Supplies,218,4,1
WING,Consumer Cyclical,Restaurants,218,4,0
USAU,Basic Materials,Gold,217,1,0
VRNA,Healthcare,Biotechnology,217,1,0
VNO,Real Estate,REITÑOffice,217,2,2
MLHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",217,2,1
MDLA,Technology,SoftwareÑApplication,217,2,1
CTXS,Technology,SoftwareÑApplication,217,3,2
VLRS,Industrials,Airlines,216,1,1
DMYD,Financial Services,Shell Companies,216,2,1
KBH,Consumer Cyclical,Residential Construction,215,2,1
FOXA,Communication Services,Broadcasting,215,2,2
SBBP,Healthcare,Biotechnology,214,0,0
WKEY,Technology,Semiconductors,214,1,1
QMCO,Technology,Computer Hardware,214,1,0
TFC,Financial Services,BanksÑRegional,214,2,2
RMBS,Technology,Semiconductors,214,2,1
AEP,Utilities,UtilitiesÑRegulated Electric,214,3,2
LYB,Basic Materials,Specialty Chemicals,214,3,2
EMAN,Technology,Semiconductor Equipment & Materials,213,0,1
COG,Energy,Oil & Gas E&P,213,1,2
BDJ,Financial Services,Asset Management,213,1,1
UNIT,Real Estate,REITÑSpecialty,213,1,2
BBW,Consumer Cyclical,Specialty Retail,213,1,1
STIM,Healthcare,Diagnostics & Research,213,1,1
JT,Financial Services,Credit Services,212,0,0
AUDC,Technology,Communication Equipment,212,2,0
BTAI,Healthcare,Biotechnology,212,2,1
FLUX,Industrials,Electrical Equipment & Parts,211,1,1
BHLB,Financial Services,BanksÑRegional,211,2,0
CYRX,Industrials,Integrated Freight & Logistics,211,3,1
PLAN,Technology,SoftwareÑInfrastructure,211,3,2
FORD,Consumer Cyclical,Footwear & Accessories,210,0,0
TEN,Consumer Cyclical,Auto Parts,210,1,1
RYAM,Basic Materials,Chemicals,210,1,1
THC,Healthcare,Medical Care Facilities,210,2,1
TXT,Industrials,Aerospace & Defense,210,2,1
BMO,Financial Services,BanksÑDiversified,210,3,1
USAC,Energy,Oil & Gas Equipment & Services,209,1,0
CNHI,Industrials,Farm & Heavy Construction Machinery,209,1,2
BRG,Real Estate,REITÑResidential,209,1,1
ANTM,Healthcare,Healthcare Plans,209,4,1
SND,Energy,Oil & Gas Equipment & Services,208,0,0
HSTO,Healthcare,Biotechnology,208,0,1
MREO,Healthcare,Biotechnology,207,0,1
XELB,Consumer Cyclical,Apparel Manufacturing,207,0,0
BGCP,Financial Services,Capital Markets,207,0,2
EFC,Financial Services,Mortgage Finance,207,1,0
PTEN,Energy,Oil & Gas Drilling,207,1,2
CNC,Healthcare,Healthcare Plans,207,2,2
TRUP,Financial Services,InsuranceÑSpecialty,207,3,0
KEYS,Technology,Scientific & Technical Instruments,207,3,1
NOC,Industrials,Aerospace & Defense,207,4,1
LOAN,Real Estate,REITÑMortgage,206,1,0
MNOV,Healthcare,Biotechnology,206,1,0
REPL,Healthcare,Biotechnology,206,2,0
TROW,Financial Services,Asset Management,206,4,1
ALXN,Healthcare,Biotechnology,206,4,2
XTNT,Healthcare,Medical Devices,205,0,0
ESRT,Real Estate,REITÑDiversified,205,1,2
KMDA,Healthcare,Drug ManufacturersÑSpecialty & Generic,204,1,0
MDXG,Healthcare,Medical Devices,204,1,2
ANF,Consumer Cyclical,Apparel Retail,204,2,1
MOS,Basic Materials,Agricultural Inputs,204,2,2
HOLX,Healthcare,Medical Instruments & Supplies,204,3,2
ACN,Technology,Information Technology Services,204,4,2
PULM,Healthcare,Biotechnology,203,0,1
USWS,Energy,Oil & Gas Midstream,203,0,2
HMI,Technology,Scientific & Technical Instruments,203,1,1
COKE,Consumer Defensive,BeveragesÑNon-Alcoholic,203,4,0
SIFY,Communication Services,Telecom Services,202,0,1
ATRS,Healthcare,Medical Instruments & Supplies,202,0,1
QRTEA,Consumer Cyclical,Internet Retail,202,1,2
MBOT,Healthcare,Medical Instruments & Supplies,202,1,0
CZZ,Energy,Oil & Gas Refining & Marketing,202,1,1
XPER,Technology,Semiconductor Equipment & Materials,202,2,1
TPB,Consumer Defensive,Tobacco,202,2,0
MDLZ,Consumer Defensive,Confectioners,202,2,2
AEM,Basic Materials,Gold,202,3,1
CIG,Utilities,UtilitiesÑDiversified,201,0,2
OSMT,Healthcare,Biotechnology,201,0,0
INSE,Communication Services,Electronic Gaming & Multimedia,201,1,0
MNRL,Energy,Oil & Gas E&P,201,1,1
DSSI,Energy,Oil & Gas Midstream,201,1,1
FIXX,Healthcare,Biotechnology,201,1,1
XCUR,Healthcare,Biotechnology,200,0,1
KRMD,Healthcare,Medical Instruments & Supplies,200,0,1
WSM,Consumer Cyclical,Specialty Retail,200,3,1
SAM,Consumer Defensive,BeveragesÑBrewers,200,4,0
UAMY,Basic Materials,Other Industrial Metals & Mining,199,0,2
TAST,Consumer Cyclical,Restaurants,199,1,1
NLTX,Healthcare,Drug ManufacturersÑSpecialty & Generic,199,1,1
HCA,Healthcare,Medical Care Facilities,199,4,2
RDHL,Healthcare,Drug ManufacturersÑSpecialty & Generic,198,1,1
TA,Consumer Cyclical,Specialty Retail,198,2,0
VICI,Real Estate,REITÑDiversified,198,2,2
HNRG,Energy,Thermal Coal,197,0,0
EXTR,Technology,Communication Equipment,197,1,2
AEYE,Technology,SoftwareÑApplication,197,2,0
MKD,Basic Materials,Chemicals,196,0,2
MDU,Basic Materials,Building Materials,196,2,1
UTSI,Technology,Communication Equipment,195,0,1
PLAG,Consumer Defensive,Packaged Foods,195,0,0
GTIM,Consumer Cyclical,Restaurants,195,0,0
SOHU,Communication Services,Internet Content & Information,195,1,1
GWRS,Utilities,UtilitiesÑRegulated Water,195,1,0
FAT,Consumer Cyclical,Restaurants,195,1,0
ACIU,Healthcare,Biotechnology,195,1,1
SQM,Basic Materials,Chemicals,195,2,1
IPWR,Industrials,Electrical Equipment & Parts,195,2,0
RCKT,Healthcare,Biotechnology,195,3,1
THO,Consumer Cyclical,Recreational Vehicles,195,3,1
CMCM,Technology,SoftwareÑApplication,194,0,1
INAQ,Financial Services,Shell Companies,194,1,2
EOD,Financial Services,Asset Management,194,1,0
NXTC,Healthcare,Biotechnology,194,1,1
SSNT,Technology,SoftwareÑApplication,194,1,0
PFGC,Consumer Defensive,Food Distribution,194,2,1
ODFL,Industrials,Trucking,194,4,1
CCLP,Energy,Oil & Gas Equipment & Services,193,0,0
OBLG,Technology,SoftwareÑApplication,193,1,0
ATEC,Healthcare,Medical Devices,193,1,1
DISCA,Communication Services,Entertainment,193,2,2
SALM,Communication Services,Broadcasting,192,0,0
LYL,Financial Services,Credit Services,192,0,0
CREE,Technology,Semiconductors,192,3,2
EMR,Industrials,Specialty Industrial Machinery,192,3,2
MPLN,Healthcare,Healthcare Plans,191,1,2
TV,Communication Services,Broadcasting,191,1,2
AMBO,Consumer Defensive,Education & Training Services,190,0,0
ETTX,Healthcare,Biotechnology,190,0,1
VERO,Healthcare,Medical Devices,190,0,1
ITCB,Financial Services,BanksÑRegional,190,1,0
STIC,Financial Services,Shell Companies,190,1,2
LAND,Real Estate,REITÑIndustrial,190,1,1
KELYB,Industrials,Staffing & Employment Services,190,2,0
PSTV,Healthcare,Biotechnology,189,0,0
PRVB,Healthcare,Biotechnology,189,1,1
BXG,Consumer Cyclical,Resorts & Casinos,189,1,0
TNP,Energy,Oil & Gas Midstream,189,1,0
LUNA,Technology,Scientific & Technical Instruments,189,1,1
VAPO,Healthcare,Medical Devices,189,2,0
BG,Consumer Defensive,Farm Products,189,3,1
VFC,Consumer Cyclical,Apparel Manufacturing,189,3,2
CSTM,Basic Materials,Aluminum,188,1,1
PBFX,Energy,Oil & Gas Midstream,188,1,1
CSWC,Financial Services,Asset Management,188,2,0
VNET,Technology,Information Technology Services,188,2,2
XP,Financial Services,Capital Markets,188,2,1
GTE,Energy,Oil & Gas E&P,186,0,2
WHLM,Industrials,Specialty Business Services,186,1,0
GRVY,Communication Services,Electronic Gaming & Multimedia,186,4,0
ADP,Industrials,Staffing & Employment Services,186,4,2
ZAGG,Consumer Cyclical,Specialty Retail,185,0,1
AVDL,Healthcare,Drug ManufacturersÑSpecialty & Generic,185,1,1
VRTV,Industrials,Business Equipment & Supplies,185,2,0
SNPS,Technology,SoftwareÑInfrastructure,185,4,1
IDXX,Healthcare,Diagnostics & Research,185,4,0
PNNT,Financial Services,Asset Management,184,1,1
ZDGE,Technology,SoftwareÑApplication,184,1,0
JQC,Financial Services,Asset Management,184,1,1
YELP,Communication Services,Internet Content & Information,184,2,1
GPK,Consumer Cyclical,Packaging & Containers,183,1,2
PTY,Financial Services,Asset Management,183,1,1
FLEX,Technology,Electronic Components,182,1,2
UTF,Financial Services,Asset Management,182,2,0
MSTR,Technology,SoftwareÑApplication,182,4,1
MIE,Financial Services,Asset Management,181,0,0
KBNT,Technology,SoftwareÑApplication,181,1,1
ARI,Real Estate,REITÑMortgage,181,1,2
RA,Financial Services,Asset Management,181,1,0
DXYN,Consumer Cyclical,Textile Manufacturing,180,0,0
MTL,Basic Materials,Steel,180,0,0
BDN,Real Estate,REITÑOffice,180,1,2
YQ,Consumer Defensive,Education & Training Services,180,1,2
IBN,Financial Services,BanksÑRegional,180,1,2
CORT,Healthcare,Biotechnology,180,2,1
WH,Consumer Cyclical,Lodging,180,3,1
BBGI,Communication Services,Broadcasting,179,0,1
ICPT,Healthcare,Biotechnology,179,2,1
TLS,Technology,Information Technology Services,179,2,1
EQR,Real Estate,REITÑResidential,179,3,2
GSAH,Financial Services,Shell Companies,178,1,2
WYND,Consumer Cyclical,Lodging,178,2,1
ID,Consumer Cyclical,Internet Retail,177,1,1
RHE,Healthcare,Medical Care Facilities,177,1,2
WHF,Financial Services,Asset Management,177,1,0
BW,Industrials,Electrical Equipment & Parts,177,1,1
DAC,Industrials,Marine Shipping,177,2,1
TPIC,Industrials,Specialty Industrial Machinery,177,3,1
NTES,Communication Services,Internet Content & Information,177,3,2
TK,Energy,Oil & Gas Midstream,176,0,1
RCON,Energy,Oil & Gas Equipment & Services,176,0,1
QIWI,Financial Services,Credit Services,176,1,1
RGS,Consumer Cyclical,Personal Services,176,1,1
TRMD,Energy,Oil & Gas Midstream,176,1,0
DSE,Financial Services,Asset Management,176,1,0
MDRX,Healthcare,Health Information Services,176,1,2
RLGY,Real Estate,Real Estate Services,176,1,2
CREG,Utilities,UtilitiesÑRenewable,176,1,1
NDAQ,Financial Services,Financial Data & Stock Exchanges,176,3,1
BL,Technology,SoftwareÑInfrastructure,176,3,0
CYBR,Technology,SoftwareÑInfrastructure,176,4,1
CDLX,Communication Services,Internet Content & Information,176,4,0
LEDS,Technology,Semiconductors,175,0,0
TEF,Communication Services,Telecom Services,175,0,1
XFOR,Healthcare,Biotechnology,175,1,0
JUPW,Healthcare,Drug ManufacturersÑSpecialty & Generic,175,1,1
RICK,Consumer Cyclical,Restaurants,175,2,0
IRDM,Communication Services,Telecom Services,175,2,1
GMAB,Healthcare,Biotechnology,175,2,1
FPAY,Industrials,Rental & Leasing Services,174,0,1
ONE,Consumer Defensive,Education & Training Services,174,0,0
VGR,Consumer Defensive,Tobacco,174,1,1
ACP,Financial Services,Asset Management,174,1,0
KLDO,Healthcare,Biotechnology,174,1,0
MWK,Technology,Consumer Electronics,174,2,1
INVH,Real Estate,REITÑResidential,174,2,2
TSEM,Technology,Semiconductors,174,2,1
HZNP,Healthcare,Drug ManufacturersÑGeneral,174,3,2
QUIK,Technology,Semiconductors,173,0,0
BRMK,Real Estate,REITÑMortgage,173,1,1
NTZ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",173,1,0
CMCL,Basic Materials,Gold,173,1,0
NOV,Energy,Oil & Gas Equipment & Services,173,1,2
PHM,Consumer Cyclical,Residential Construction,173,2,2
FIZZ,Consumer Defensive,BeveragesÑNon-Alcoholic,173,3,1
AGFS,Consumer Defensive,Farm Products,172,0,0
ICON,Consumer Cyclical,Apparel Manufacturing,172,0,1
CIH,Technology,SoftwareÑApplication,172,0,0
ATNX,Healthcare,Drug ManufacturersÑSpecialty & Generic,172,1,1
AVAL,Financial Services,BanksÑRegional,172,1,0
HFC,Energy,Oil & Gas Refining & Marketing,172,2,2
API,Technology,SoftwareÑApplication,172,3,1
SJM,Consumer Defensive,Packaged Foods,172,3,1
OZON,Consumer Cyclical,Internet Retail,172,3,1
NEWR,Technology,SoftwareÑInfrastructure,172,3,1
ONCS,Healthcare,Biotechnology,171,1,1
GRMN,Technology,Scientific & Technical Instruments,171,3,1
AINV,Financial Services,Asset Management,170,1,1
EAF,Industrials,Electrical Equipment & Parts,170,1,2
KLXE,Energy,Oil & Gas Equipment & Services,170,1,0
BK,Financial Services,Asset Management,170,2,2
RL,Consumer Cyclical,Apparel Manufacturing,170,3,1
GMLP,Energy,Oil & Gas Midstream,169,0,1
APWC,Industrials,Electrical Equipment & Parts,169,1,2
GNL,Real Estate,REITÑOffice,169,1,1
CNP,Utilities,UtilitiesÑRegulated Gas,169,2,2
VITL,Consumer Defensive,Farm Products,169,2,1
OLLI,Consumer Defensive,Discount Stores,169,3,1
BHP,Basic Materials,Other Industrial Metals & Mining,169,3,2
BPT,Energy,Oil & Gas Refining & Marketing,168,0,0
AMKR,Technology,Semiconductors,168,1,2
CNX,Energy,Oil & Gas E&P,168,1,2
EOLS,Healthcare,Drug ManufacturersÑSpecialty & Generic,168,1,1
RBAC,Financial Services,Shell Companies,168,1,1
JAN,Industrials,Waste Management,168,1,1
QQQX,Financial Services,Asset Management,168,2,0
CSU,Healthcare,Medical Care Facilities,168,2,0
BEKE,Real Estate,Real Estate Services,168,3,2
TXRH,Consumer Cyclical,Restaurants,168,3,1
RRD,Industrials,Specialty Business Services,167,0,1
RLH,Consumer Cyclical,Lodging,167,0,0
VHC,Technology,SoftwareÑInfrastructure,167,1,1
MNST,Consumer Defensive,BeveragesÑNon-Alcoholic,167,3,2
PII,Consumer Cyclical,Recreational Vehicles,167,3,1
IFMK,Consumer Defensive,Grocery Stores,166,0,1
MXC,Energy,Oil & Gas E&P,166,1,0
BSGM,Healthcare,Medical Devices,166,1,1
AROC,Energy,Oil & Gas Equipment & Services,166,1,2
REZI,Industrials,Security & Protection Services,166,2,1
LHX,Industrials,Aerospace & Defense,166,4,1
CTEK,Technology,Information Technology Services,165,0,0
PIPP,Financial Services,Shell Companies,165,1,2
LIFE,Healthcare,Biotechnology,165,1,1
ASMB,Healthcare,Biotechnology,165,1,2
FLWS,Consumer Cyclical,Specialty Retail,165,2,1
EVBG,Technology,SoftwareÑApplication,165,3,0
CLPS,Technology,Information Technology Services,164,0,1
DOC,Real Estate,REITÑHealthcare Facilities,164,1,2
CODI,Industrials,Conglomerates,164,2,0
SPRO,Healthcare,Biotechnology,164,2,0
SAGE,Healthcare,Biotechnology,164,3,1
PGR,Financial Services,InsuranceÑProperty & Casualty,164,3,2
AVAV,Industrials,Aerospace & Defense,164,3,0
USX,Industrials,Trucking,163,1,1
CIO,Real Estate,REITÑOffice,163,1,1
TPGY,Financial Services,Shell Companies,163,2,2
ATNF,Healthcare,Biotechnology,162,1,2
USDP,Industrials,Railroads,162,1,0
TDAC,Financial Services,Shell Companies,162,1,1
SIEN,Healthcare,Medical Devices,162,1,1
SA,Basic Materials,Gold,162,1,1
PERI,Communication Services,Internet Content & Information,162,2,1
ARMK,Consumer Cyclical,Restaurants,162,2,1
MASI,Healthcare,Medical Instruments & Supplies,162,4,0
HGSH,Real Estate,Real EstateÑDevelopment,161,0,1
VOLT,Industrials,Staffing & Employment Services,161,0,0
SPPP, , ,161,1,0
WIT,Technology,Information Technology Services,161,1,2
HCAT,Healthcare,Health Information Services,161,2,0
MED,Consumer Cyclical,Personal Services,161,4,0
MCHP,Technology,Semiconductors,161,4,2
FIVE,Consumer Cyclical,Specialty Retail,161,4,1
AUMN,Basic Materials,Other Precious Metals & Mining,160,0,1
BPMP,Energy,Oil & Gas Midstream,160,1,1
ALEC,Healthcare,Biotechnology,160,2,1
CPA,Industrials,Airlines,160,3,1
TPC,Industrials,Engineering & Construction,159,1,1
SOI,Energy,Oil & Gas Equipment & Services,159,1,1
LNC,Financial Services,InsuranceÑLife,159,2,1
RKDA,Basic Materials,Agricultural Inputs,158,0,1
AACQ, , ,158,1,2
LINC,Consumer Defensive,Education & Training Services,158,1,0
OCN,Financial Services,Mortgage Finance,158,2,0
HARP,Healthcare,Biotechnology,158,2,0
YNDX,Communication Services,Internet Content & Information,158,3,2
TRIB,Healthcare,Diagnostics & Research,157,1,1
VRME,Industrials,Security & Protection Services,157,1,0
CFII,Financial Services,Shell Companies,157,1,2
ADVM,Healthcare,Biotechnology,157,1,2
IMO,Energy,Oil & Gas Integrated,157,2,1
CINF,Financial Services,InsuranceÑProperty & Casualty,157,3,1
NR,Energy,Oil & Gas Equipment & Services,156,0,1
MIND,Technology,Scientific & Technical Instruments,156,0,0
PBT,Energy,Oil & Gas E&P,156,0,0
ACEV,Financial Services,Shell Companies,156,1,1
ARAY,Healthcare,Medical Devices,156,1,1
NTGR,Technology,Communication Equipment,156,2,0
SMPL,Consumer Defensive,Packaged Foods,156,2,1
CLB,Energy,Oil & Gas Equipment & Services,156,2,0
VIVO,Healthcare,Diagnostics & Research,156,2,1
BOMN,Communication Services,Advertising Agencies,156,2,0
STT,Financial Services,Asset Management,156,3,2
BYSI,Healthcare,Biotechnology,155,1,1
ZIOP,Healthcare,Biotechnology,155,1,2
CTRE,Real Estate,REITÑHealthcare Facilities,155,2,1
PDCE,Energy,Oil & Gas E&P,155,2,1
VST,Utilities,UtilitiesÑIndependent Power Producers,155,2,2
ASO,Consumer Cyclical,Specialty Retail,155,2,1
OMER,Healthcare,Biotechnology,155,2,1
CTLT,Healthcare,Drug ManufacturersÑSpecialty & Generic,155,3,1
KLAC,Technology,Semiconductor Equipment & Materials,155,4,1
GLOG,Energy,Oil & Gas Midstream,154,0,1
CNR,Industrials,Building Products & Equipment,154,1,1
CGEN,Healthcare,Biotechnology,154,1,2
JACK,Consumer Cyclical,Restaurants,154,3,0
AVB,Real Estate,REITÑResidential,154,4,1
SQFT,Real Estate,REITÑDiversified,153,0,1
CASI,Healthcare,Biotechnology,153,0,0
XIN,Real Estate,Real EstateÑDevelopment,153,0,0
BDSI,Healthcare,Biotechnology,153,0,1
PW,Real Estate,REITÑSpecialty,153,2,0
SYK,Healthcare,Medical Devices,153,4,1
FENG,Communication Services,Internet Content & Information,152,0,1
BLCM,Healthcare,Biotechnology,152,0,1
ESTE,Energy,Oil & Gas E&P,152,1,1
ONVO,Healthcare,Diagnostics & Research,152,1,1
ALBO,Healthcare,Biotechnology,152,2,0
REKR,Technology,SoftwareÑInfrastructure,151,1,1
ANIX,Healthcare,Diagnostics & Research,151,1,1
CENX,Basic Materials,Aluminum,151,1,1
PSAC,Financial Services,Shell Companies,151,1,2
ZTO,Industrials,Integrated Freight & Logistics,151,2,2
DNLI,Healthcare,Biotechnology,151,3,1
TNDM,Healthcare,Medical Devices,151,3,1
PEGA,Technology,SoftwareÑApplication,151,3,0
AJAX,Financial Services,Shell Companies,150,1,2
GUT,Financial Services,Asset Management,150,1,0
NM,Industrials,Marine Shipping,150,1,0
TGC,Energy,Oil & Gas E&P,149,0,1
WU,Financial Services,Credit Services,149,2,2
BKE,Consumer Cyclical,Apparel Retail,149,2,1
HUM,Healthcare,Healthcare Plans,149,4,1
CHCI,Real Estate,Real EstateÑDiversified,148,0,0
RGLS,Healthcare,Biotechnology,148,0,1
VBLT,Healthcare,Biotechnology,148,0,0
ORCC,Financial Services,Credit Services,148,1,2
GLBS,Industrials,Marine Shipping,148,1,1
GLDD,Industrials,Engineering & Construction,148,1,1
ZTR,Financial,Closed-End Fund - Equity,148,1,0
BPTH,Healthcare,Biotechnology,148,1,1
KKR,Financial Services,Asset Management,148,2,2
PXD,Energy,Oil & Gas E&P,148,3,2
AXDX,Healthcare,Diagnostics & Research,147,1,1
FREE,Consumer Defensive,Packaged Foods,147,1,1
BSQR,Technology,SoftwareÑApplication,147,1,0
MTW,Industrials,Farm & Heavy Construction Machinery,147,1,1
HQY,Healthcare,Health Information Services,147,3,1
BLK,Financial Services,Asset Management,147,4,1
PFMT,Industrials,Specialty Business Services,146,0,1
TATT,Industrials,Aerospace & Defense,146,1,1
EXG,Financial Services,Asset Management,146,1,1
FAST,Industrials,Industrial Distribution,146,2,2
