symbol,sector,industry,trades,p_lvl,adv_lvl
LNN,Industrials,Farm & Heavy Construction Machinery,7,4,0
PTNR,Communication Services,Telecom Services,6,0,0
RSSS,Technology,Information Technology Services,6,0,0
SRTS,Healthcare,Medical Devices,6,0,0
TURN,Financial Services,Asset Management,6,1,0
CSBR,Healthcare,Biotechnology,6,1,0
MCA,Financial Services,Asset Management,6,1,0
SYNL,Basic Materials,Steel,6,1,0
NWBI,Financial Services,BanksÑRegional,6,1,1
BHSE,Financial Services,Shell Companies,6,1,0
LSAQ,Financial Services,Shell Companies,6,1,0
GOAC,Financial Services,Shell Companies,6,1,0
TAYD,Industrials,Specialty Industrial Machinery,6,1,0
FVAM,Financial Services,Shell Companies,6,1,0
IIIIU,Financial Services,Shell Companies,6,1,0
NXP,Financial Services,Asset Management,6,1,0
MYF,Financial Services,Asset Management,6,1,0
SVT,Industrials,Electrical Equipment & Parts,6,1,0
RAACU,Financial Services,Shell Companies,6,1,1
TIG,Financial Services,InsuranceÑSpecialty,6,1,0
BKN,Financial Services,Asset Management,6,1,0
PFD,Financial Services,Asset Management,6,1,0
JYAC,Financial Services,Shell Companies,6,1,0
PCQ,Financial Services,Asset Management,6,1,0
NPN,Financial Services,Asset Management,6,1,0
CPSR,Financial Services,Shell Companies,6,1,0
BCTG,Financial Services,Shell Companies,6,1,0
BFIN,Financial Services,BanksÑRegional,6,1,0
AMRB,Financial Services,BanksÑRegional,6,1,0
GRTX,Healthcare,Biotechnology,6,1,0
NMT,Financial Services,Asset Management,6,1,0
OCFC,Financial Services,BanksÑRegional,6,1,1
OPBK,Financial Services,BanksÑRegional,6,1,0
PAQCU,Financial Services,Shell Companies,6,1,1
OFG,Financial Services,BanksÑRegional,6,1,0
PFO,Financial Services,Asset Management,6,1,0
EDTXU,Financial Services,Shell Companies,6,1,0
PFIN,Industrials,Tools & Accessories,6,1,0
MVT,Financial Services,Asset Management,6,1,0
DUC,Financial Services,Asset Management,6,1,0
BFY,Financial Services,Asset Management,6,1,0
MEC,Industrials,Metal Fabrication,6,1,0
FFNW,Financial Services,BanksÑRegional,6,1,0
PCYO,Utilities,UtilitiesÑRegulated Water,6,1,0
ESSCU,Financial Services,Shell Companies,6,1,0
NEV,Financial Services,Asset Management,6,1,0
BNY,Financial Services,Asset Management,6,1,0
LCNB,Financial Services,BanksÑRegional,6,1,0
IHIT,Financial Services,Asset Management,6,1,0
TACT,Technology,Computer Hardware,6,1,0
HMTV,Communication Services,Entertainment,6,1,0
TEKK,Financial Services,Shell Companies,6,1,0
OTEL,Communication Services,Telecom Services,6,1,0
HBNC,Financial Services,BanksÑRegional,6,1,0
MYD,Financial Services,Asset Management,6,1,0
DYN,Healthcare,Biotechnology,6,2,0
CMCO,Industrials,Farm & Heavy Construction Machinery,6,2,0
HWBK,Financial Services,BanksÑRegional,6,2,0
HLG,Consumer Defensive,Education & Training Services,6,2,0
NKSH,Financial Services,BanksÑRegional,6,2,0
FFIN,Financial Services,BanksÑRegional,6,2,0
TMX,Consumer Cyclical,Personal Services,6,2,1
CEE,Financial Services,Asset Management,6,2,0
FBIZ,Financial Services,BanksÑRegional,6,2,0
VALU,Financial Services,Financial Data & Stock Exchanges,6,2,0
EBMT,Financial Services,BanksÑRegional,6,2,0
NOAH,Financial Services,Asset Management,6,2,0
AMEH,Healthcare,Medical Care Facilities,6,2,0
SILK,Healthcare,Medical Devices,6,2,0
ALRS,Financial Services,BanksÑRegional,6,2,0
